Code,Cross-Reference
33641,"Establishments primarily engaged in manufacturing space satellites are classified in Industry 33422, Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing;"
33641,"Establishments primarily engaged in manufacturing flight simulators are classified in Industry 33331, Commercial and Service Industry Machinery Manufacturing;"
33641,"Establishments primarily engaged in the repair of aircraft or aircraft engines (except overhauling, conversion, and rebuilding) are classified in Industry 48819, Other Support Activities for Air Transportation;"
33641,"Research and development establishments primarily engaged in aerospace R&D (except prototype production) are classified in Industry 54171, Research and Development in the Physical, Engineering, and Life Sciences;"
33641,"Establishments primarily engaged in manufacturing aircraft engine intake and exhaust valves, pistons, or engine filters are classified in Industry 33631, Motor Vehicle Gasoline Engine and Engine Parts Manufacturing;"
33641,"Establishments primarily engaged in manufacturing aircraft seating are classified in Industry 33636, Motor Vehicle Seating and Interior Trim Manufacturing;"
33641,"Establishments primarily engaged in manufacturing aeronautical, navigational, and guidance systems and instruments are classified in Industry 33451, Navigational, Measuring, Electromedical, and Control Instruments Manufacturing;"
33641,"Establishment primarily engaged in manufacturing aircraft engine electrical (aeronautical electrical) equipment or aircraft lighting fixtures are classified in Industry 33632, Motor Vehicle Electrical and Electronic Equipment Manufacturing; and"
33641,"Establishments primarily engaged in manufacturing aircraft fluid power subassemblies are classified in Industry 33291, Metal Valve Manufacturing."
336411,"Establishments primarily engaged in manufacturing guided missiles and space vehicles are classified in U.S. Industry 336414, Guided Missile and Space Vehicle Manufacturing;"
336411,"Establishments primarily engaged in manufacturing flight simulators are classified in U.S. Industry 333318, Other Commercial and Service Industry Machinery Manufacturing;"
336411,"Establishments primarily engaged in the repair of aircraft (except overhauling, conversion, and rebuilding) are classified in Industry 488190, Other Support Activities for Air Transportation; and"
336411,"Research and development establishments primarily engaged in aircraft R&D (except prototype production) are classified in U.S. Industry 541715, Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)."
336412,"Establishments primarily engaged in manufacturing guided missile and space vehicle propulsion units and parts are classified in U.S. Industry 336415, Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing;"
336412,"Establishments primarily engaged in manufacturing aircraft intake and exhaust valves and pistons and aircraft internal combustion engine filters are classified in Industry 336310, Motor Vehicle Gasoline Engine and Engine Parts Manufacturing;"
336412,"Establishments primarily engaged in the repair of aircraft engines (except overhauling, conversion, and rebuilding) are classified in Industry 488190, Other Support Activities for Air Transportation;"
336412,"Research and development establishments primarily engaged in aircraft engine and engine parts R&D (except prototype production) are classified in U.S. Industry 541715, Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology); and"
336412,"Establishments primarily engaged in manufacturing aeronautical instruments are classified in U.S. Industry 334511, Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing."
336413,"Establishments primarily engaged in manufacturing aircraft engines and engine parts are classified in U.S. Industry 336412, Aircraft Engine and Engine Parts Manufacturing;"
336413,"Establishments primarily engaged in manufacturing aeronautical instruments are classified in U.S. Industry 334511, Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing;"
336413,"Establishments primarily engaged in manufacturing aircraft lighting fixtures and aircraft engine electrical (aeronautical electrical) equipment are classified in Industry 336320, Motor Vehicle Electrical and Electronic Equipment Manufacturing;"
336413,"Establishments primarily engaged in manufacturing guided missile and space vehicle parts and auxiliary equipment are classified in U.S. Industry 336419, Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing;"
336413,"Establishments primarily engaged in manufacturing of aircraft fluid power subassemblies are classified in U.S. Industry 332912, Fluid Power Valve and Hose Fitting Manufacturing;"
336413,"Establishments primarily engaged in manufacturing aircraft seating are classified in Industry 336360, Motor Vehicle Seating and Interior Trim Manufacturing; and"
336413,"Research and development establishments primarily engaged in aircraft parts and auxiliary equipment R&D (except prototype production) are classified in U.S. Industry 541715, Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)."
336414,"Establishments primarily engaged in manufacturing space satellites are classified in Industry 334220, Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing; and"
336414,"Research and development establishments primarily engaged in guided missile and space vehicle R&D (except prototype production) are classified in U.S. Industry 541715, Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)."
336415,"Research and development establishments primarily engaged in guided missile and space propulsion unit and propulsion unit parts R&D (except prototype production) are classified in U.S. Industry 541715, Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)."
336419,"Establishments primarily engaged in manufacturing navigational and guidance systems are classified in U.S. Industry 334511, Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing;"
336419,"Establishments primarily engaged in manufacturing guided missile and space vehicle propulsion units and propulsion unit parts are classified in U.S. Industry 336415, Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing; and"
336419,"Research and development establishments primarily engaged in guided missile and space vehicle parts and auxiliary equipment R&D (except prototype production) are classified in U.S. Industry 541715, Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)."
336510,"Establishments primarily engaged in manufacturing mining rail cars are classified in U.S. Industry 333131, Mining Machinery and Equipment Manufacturing;"
336510,"Establishments primarily engaged in manufacturing locomotive fuel lubricating or cooling medium pumps are classified in U.S. Industry 333914, Measuring, Dispensing, and Other Pumping Equipment Manufacturing;"
336510,"Repair establishments of railroad and local transit companies primarily engaged in repairing railroad and transit cars are classified in Industry 488210, Support Activities for Rail Transportation; and"
336510,"Establishments not owned by railroad or local transit companies engaged in repairing railroad cars and locomotive engines are classified in Industry 811310, Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance."
33661,"Manufacturing inflatable rubber swimming pool rafts and similar flotation devices--are classified in Industry 32629, Other Rubber Product Manufacturing;"
33661,"Manufacturing inflatable plastic swimming pool rafts and similar flotation devices--are classified in Industry 32619, Other Plastics Product Manufacturing;"
33661,"Fabricating structural assemblies or components for ships, or subcontractors engaged in ship painting, joinery, carpentry work, and electrical wiring installation--are classified based on the production process used; and"
33661,"Ship repairs performed in floating drydocks--are classified in Industry 48839, Other Support Activities for Water Transportation."
336611,"Fabricating structural assemblies or components for ships, or subcontractors engaged in ship painting, joinery, carpentry work, and electrical wiring installation--are classified based on the production process used; and"
336611,"Ship repairs performed in floating drydocks--are classified in Industry 488390, Other Support Activities for Water Transportation."
336612,"Ship building or ship repairs performed in a shipyard--are classified in U.S. Industry 336611, Ship Building and Repairing;"
336612,"Manufacturing inflatable rubber swimming pool rafts and similar flotation devices--are classified in U.S. Industry 326299, All Other Rubber Product Manufacturing; and"
336612,"Manufacturing inflatable plastic swimming pool rafts and similar flotation devices--are classified in U.S. Industry 326199, All Other Plastics Product Manufacturing."
33699,"Manufacturing ships and boats--are classified in Industry 33661, Ship and Boat Building;"
33699,"Manufacturing aerospace products and parts--are classified in Industry 33641, Aerospace Product and Parts Manufacturing;"
33699,"Manufacturing motor vehicle parts--are classified in Industry Group 3363, Motor Vehicle Parts Manufacturing;"
33699,"Manufacturing children's vehicles (except bicycles and metal tricycles)--are classified in Industry 33993, Doll, Toy, and Game Manufacturing;"
33699,"Manufacturing railroad rolling stock--are classified in Industry 33651, Railroad Rolling Stock Manufacturing; and"
33699,"Manufacturing motor vehicles--are classified in Industry Group 3361, Motor Vehicle Manufacturing."
336991,"Manufacturing children's vehicles (except bicycles and metal tricycles)--are classified in Industry 339930, Doll, Toy, and Game Manufacturing; and"
336991,"Manufacturing powered golf carts and other similar motorized personnel carriers--are classified in U.S. Industry 336999, All Other Transportation Equipment Manufacturing."
336992,"Establishments primarily engaged in manufacturing nonarmored military universal carriers are classified in U.S. Industry 336112, Light Truck and Utility Vehicle Manufacturing."
336999,"Manufacturing motorcycles, bicycles, and parts--are classified in U.S. Industry 336991, Motorcycle, Bicycle, and Parts Manufacturing;"
336999,"Manufacturing military armored vehicles, tanks, and tank components--are classified in U.S. Industry 336992, Military Armored Vehicle, Tank, and Tank Component Manufacturing;"
336999,"Manufacturing ships and boats--are classified in Industry 33661, Ship and Boat Building;"
336999,"Manufacturing aerospace products and parts--are classified in Industry 33641, Aerospace Product and Parts Manufacturing;"
336999,"Manufacturing motor vehicle parts--are classified in Industry Group 3363, Motor Vehicle Parts Manufacturing;"
336999,"Manufacturing railroad rolling stock--are classified in Industry 336510, Railroad Rolling Stock Manufacturing; and"
336999,"Manufacturing motor vehicles--are classified in Industry Group 3361, Motor Vehicle Manufacturing."
337110,"Manufacturing metal kitchen and bathroom cabinets (except freestanding)--are classified in U.S. Industry 337124, Metal Household Furniture Manufacturing;"
337110,"Manufacturing plastics countertops--are classified in U.S. Industry 326199, All Other Plastics Product Manufacturing;"
337110,"Manufacturing stone countertops--are classified in U.S. Industry 327991, Cut Stone and Stone Product Manufacturing; and"
337110,"Manufacturing wood or plastics laminated on wood countertops (except kitchen and bathroom)--are classified in U.S. Industry 337215, Showcase, Partition, Shelving, and Locker Manufacturing."
33712,"Manufacturing specialized hospital and/or dental furniture (e.g., hospital beds, operating tables, dental chairs)--are classified in Industry 33911, Medical Equipment and Supplies Manufacturing;"
33712,"Manufacturing wood or plastics laminated on wood kitchen cabinets, bathroom vanities, and countertops (except freestanding)--are classified in Industry 33711, Wood Kitchen Cabinet and Countertop Manufacturing;"
33712,"Manufacturing office-type furniture and/or office or store fixtures--are classified in Industry 33721, Office Furniture (including Fixtures) Manufacturing; and"
33712,"Repairing or refinishing furniture--are classified in Industry 81142, Reupholstery and Furniture Repair."
337121,"Reupholstering furniture or upholstering frames to individual order--are classified in Industry 811420, Reupholstery and Furniture Repair;"
337121,"Manufacturing wood kitchen and dining room chairs with upholstered seats or backs--are classified in U.S. Industry 337122, Nonupholstered Wood Household Furniture Manufacturing;"
337121,"Manufacturing metal kitchen and dining room chairs with upholstered seats or backs--are classified in U.S. Industry 337124, Metal Household Furniture Manufacturing; and"
337121,"Manufacturing kitchen and dining room chairs (except wood and metal) with upholstered seats or backs--are classified in U.S. Industry 337125, Household Furniture (except Wood and Metal) Manufacturing."
337122,"Manufacturing reed, rattan, plastics and similar furniture--are classified in U.S. Industry 337125, Household Furniture (except Wood and Metal) Manufacturing;"
337122,"Manufacturing wood television, stereo, and sewing machine cabinets (i.e., housings)--are classified in U.S. Industry 321999, All Other Miscellaneous Wood Product Manufacturing;"
337122,"Manufacturing wood or plastics laminated on wood kitchen cabinets, bathroom vanities, and countertops (except freestanding)--are classified in Industry 337110, Wood Kitchen Cabinet and Countertop Manufacturing; and"
337122,"Repairing or refinishing furniture--are classified in Industry 811420, Reupholstery and Furniture Repair."
337124,"Establishments primarily engaged in manufacturing specialized metal dental and hospital furniture (e.g., dental chairs, hospital beds, operating tables) are classified in Industry 33911, Medical Equipment and Supplies Manufacturing."
337125,"Manufacturing concrete, ceramic, or stone furniture--are classified in Subsector 327, Nonmetallic Mineral Product Manufacturing, according to the materials used;"
337125,"Manufacturing upholstered household-type furniture--are classified in U.S. Industry 337121, Upholstered Household Furniture Manufacturing;"
337125,"Manufacturing metal household-type furniture--are classified in U.S. Industry 337124, Metal Household Furniture Manufacturing; and"
337125,"Manufacturing nonupholstered wood household-type furniture--are classified in U.S. Industry 337122, Nonupholstered Wood Household Furniture Manufacturing."
337127,"Manufacturing specialized hospital furniture (e.g., hospital beds, operating tables)--are classified in U.S. Industry 339113, Surgical Appliance and Supplies Manufacturing;"
337127,"Manufacturing specialized dental furniture (e.g., dental chairs)--are classified in U.S. Industry 339114, Dental Equipment and Supplies Manufacturing;"
337127,"Manufacturing wood or plastics laminated on wood kitchen cabinets, bathroom vanities, and countertops (except freestanding)--are classified in Industry 337110, Wood Kitchen Cabinet and Countertop Manufacturing;"
337127,"Manufacturing office-type furniture and/or office or store fixtures--are classified in Industry 33721, Office Furniture (including Fixtures) Manufacturing; and"
337127,"Repairing or refinishing furniture--are classified in Industry 811420, Reupholstery and Furniture Repair."
33721,"Manufacturing millwork on a factory basis--are classified in Industry 32191, Millwork;"
33721,"Manufacturing household-type and institutional-type furniture--are classified in Industry 33712, Household and Institutional Furniture Manufacturing;"
33721,"Manufacturing refrigerated cabinets, showcases, and display cases--are classified in Industry 33341, Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing; and"
33721,"Manufacturing metal safes and vaults--are classified in Industry 33299, All Other Fabricated Metal Product Manufacturing."
337212,"Manufacturing millwork on a factory basis--are classified in U.S. Industry 321918, Other Millwork (including Flooring);"
337212,"Manufacturing wood office-type furniture on a stock or custom basis--are classified in U.S. Industry 337211, Wood Office Furniture Manufacturing; and"
337212,"Manufacturing wood office-type and store fixtures on a stock or custom basis--are classified in U.S. Industry 337215, Showcase, Partition, Shelving, and Locker Manufacturing."
337215,"Manufacturing refrigerated cabinets, showcases, and display cases--are classified in U.S. Industry 333415, Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing;"
337215,"Manufacturing metal safes and vaults--are classified in U.S. Industry 332999, All Other Miscellaneous Fabricated Metal Product Manufacturing; and"
337215,"Manufacturing wood or plastics laminated kitchen and bathroom countertops--are classified in Industry 337110, Wood Kitchen Cabinet and Countertop Manufacturing."
337910,"Manufacturing individual wire springs--are classified in Industry 33261, Spring and Wire Product Manufacturing; and"
337910,"Manufacturing inflatable mattresses--are classified in Subsector 326, Plastics and Rubber Products Manufacturing."
337920,"Manufacturing canvas awnings--are classified in Industry 314910, Textile Bag and Canvas Mills; and"
337920,"Manufacturing curtains and draperies--are classified in Industry 314120, Curtain and Linen Mills."
33911,"Manufacturing laboratory instruments, X-ray apparatus, electromedical apparatus (including electronic hearing aids), and thermometers (except medical)--are classified in Industry 33451, Navigational, Measuring, Electromedical, and Control Instruments Manufacturing;"
33911,"Manufacturing molded glass lens blanks--are classified in Industry 32721, Glass and Glass Product Manufacturing;"
33911,"Manufacturing molded plastics lens blanks--are classified in Industry 32619, Other Plastics Product Manufacturing;"
33911,"Retailing and grinding prescription eyeglasses--are classified in Industry 44613, Optical Goods Stores;"
33911,"Manufacturing sporting goods helmets and protective equipment--are classified in Industry 33992, Sporting and Athletic Goods Manufacturing;"
33911,"Manufacturing general purpose hospital, laboratory, and/or dental furniture (e.g., stools, tables, benches)--are classified in Industry 33712, Household and Institutional Furniture Manufacturing;"
33911,"Manufacturing laboratory scales and balances, laboratory furnaces and ovens, and/or laboratory centrifuges--are classified in Industry 33399, All Other General Purpose Machinery Manufacturing;"
33911,"Manufacturing laboratory distilling equipment--are classified in Industry 33324, Industrial Machinery Manufacturing; and"
33911,"Manufacturing laboratory freezers--are classified in Industry 33341, Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing."
339112,"Manufacturing electromedical and electrotherapeutic apparatus--are classified in U.S. Industry 334510, Electromedical and Electrotherapeutic Apparatus Manufacturing;"
339112,"Manufacturing irradiation apparatus--are classified in U.S. Industry 334517, Irradiation Apparatus Manufacturing;"
339112,"Manufacturing surgical (except dental) and orthopedic appliances or specialized hospital furniture (e.g., hospital beds, operating tables)--are classified in U.S. Industry 339113, Surgical Appliance and Supplies Manufacturing;"
339112,"Manufacturing dental equipment, dental supplies, dental laboratory apparatus, and dental laboratory furniture--are classified in U.S. Industry 339114, Dental Equipment and Supplies Manufacturing;"
339112,"Manufacturing general purpose hospital, laboratory, and/or dental furniture (e.g., stools, tables, benches)--are classified in U.S. Industry 337127, Institutional Furniture Manufacturing;"
339112,"Manufacturing thermometers (except medical)--are classified in U.S. Industry 334519, Other Measuring and Controlling Device Manufacturing; and"
339112,"Manufacturing ophthalmic goods--are classified in U.S. Industry 339115, Ophthalmic Goods Manufacturing."
339113,"Manufacturing dental equipment, dental supplies, dental laboratory apparatus, and specialized dental laboratory furniture (e.g., dental chairs)--are classified in U.S. Industry 339114, Dental Equipment and Supplies Manufacturing;"
339113,"Manufacturing general purpose hospital, laboratory, and/or dental furniture (e.g., stools, tables, benches)--are classified in U.S. Industry 337127, Institutional Furniture Manufacturing;"
339113,"Manufacturing electronic hearing aids--are classified in U.S. Industry 334510, Electromedical and Electrotherapeutic Apparatus Manufacturing;"
339113,"Manufacturing industrial protective eyewear--are classified in U.S. Industry 339115, Ophthalmic Goods Manufacturing; and"
339113,"Manufacturing sporting goods helmets and protective equipment--are classified in Industry 339920, Sporting and Athletic Goods Manufacturing."
339114,"Establishments primarily engaged in manufacturing dentures, crowns, bridges, and orthodontic appliances customized for individual application are classified in U.S. Industry 339116, Dental Laboratories."
339115,"Manufacturing molded glass lens blanks--are classified in U.S. Industry 327212, Other Pressed and Blown Glass and Glassware Manufacturing;"
339115,"Manufacturing molded plastics lens blanks--are classified in U.S. Industry 326199, All Other Plastics Product Manufacturing; and"
339115,"Retailing and grinding prescription eyeglasses--are classified in Industry 446130, Optical Goods Stores."
339116,"Establishments primarily engaged in manufacturing dental equipment and supplies are classified in U.S. Industry 339114, Dental Equipment and Supplies Manufacturing."
339910,"Manufacturing nonprecious and precious plated metal cutlery and flatware--are classified in U.S. Industry 332215, Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing;"
339910,"Manufacturing nonprecious metal plated ware (except cutlery and flatware)--are classified in U.S. Industry 332999, All Other Miscellaneous Fabricated Metal Product Manufacturing;"
339910,"Engraving, chasing, or etching nonprecious and precious plated metal cutlery, flatware and other plated ware--are classified in U.S. Industry 332812, Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers;"
339910,"Plating jewelry--are classified in U.S. Industry 332813, Electroplating, Plating, Polishing, Anodizing, and Coloring;"
339910,"Manufacturing synthetic stones--are classified in U.S. Industry 327999, All Other Miscellaneous Nonmetallic Mineral Product Manufacturing; and"
339910,"Manufacturing personal goods (except metal) carried on or about the person, such as compacts and cigarette cases--are classified in U.S. Industry 316998, All Other Leather Good and Allied Product Manufacturing."
339920,"Manufacturing athletic apparel--are classified in Subsector 315, Apparel Manufacturing;"
339920,"Manufacturing athletic footwear--are classified in Industry 316210, Footwear Manufacturing; and"
339920,"Manufacturing small arms and small arms ammunition--are classified in Industry 33299, All Other Fabricated Metal Product Manufacturing."
339930,"Manufacturing metal tricycles and bicycles--are classified in U.S. Industry 336991, Motorcycle, Bicycle, and Parts Manufacturing;"
339930,"Manufacturing sporting and athletic goods--are classified in Industry 339920, Sporting and Athletic Goods Manufacturing;"
339930,"Manufacturing coin-operated game machines--are classified in U.S. Industry 339999, All Other Miscellaneous Manufacturing;"
339930,"Manufacturing electronic video game cartridges and reproducing video game software--are classified in U.S. Industry 334614, Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing; and"
339930,"Publishing or publishing and reproducing game software--are classified in Industry 511210, Software Publishers."
339940,"Manufacturing writing, drawing, and india inks--are classified in U.S. Industry 325998, All Other Miscellaneous Chemical Product and Preparation Manufacturing;"
339940,"Manufacturing rubber erasers--are classified in U.S. Industry 326299, All Other Rubber Product Manufacturing;"
339940,"Manufacturing paper office supplies--are classified in Subsector 322, Paper Manufacturing;"
339940,"Printing manifold business forms and manufacturing blankbooks, looseleaf binders, and looseleaf devices--are classified in U.S. Industry 323111, Commercial Printing (except Screen and Books);"
339940,"Manufacturing drafting tables and boards--are classified in U.S. Industry 337127, Institutional Furniture Manufacturing; and"
339940,"Manufacturing inkjet and toner cartridges--are classified in Industry Group 3259, Other Chemical Product and Preparation Manufacturing."
339950,"Printing advertising specialties or printing paper and paperboard signs, notices, and displays--are classified in Industry 32311, Printing;"
339950,Manufacturing and printing advertising specialties--are classified in the Manufacturing sector according to the products made;
339950,"Manufacturing die-cut paperboard displays--are classified in U.S. Industry 322299, All Other Converted Paper Product Manufacturing; and"
339950,"Sign lettering and painting--are classified in Industry 541890, Other Services Related to Advertising."
33999,"Manufacturing medical equipment and supplies--are classified in Industry Group 3391, Medical Equipment and Supplies Manufacturing;"
33999,"Manufacturing jewelry and flatware--are classified in Industry 33991, Jewelry and Silverware Manufacturing;"
33999,"Manufacturing sporting and athletic goods--are classified in Industry 33992, Sporting and Athletic Goods Manufacturing;"
33999,"Manufacturing dolls, toys, and games--are classified in Industry 33993, Doll, Toy, and Game Manufacturing;"
33999,"Manufacturing office supplies (except paper)--are classified in Industry 33994, Office Supplies (except Paper) Manufacturing;"
33999,"Manufacturing signs--are classified in Industry 33995, Sign Manufacturing;"
33999,"Manufacturing concrete burial vaults--are classified in Industry 32739, Other Concrete Product Manufacturing;"
33999,"Manufacturing Christmas tree glass ornaments and glass lamp shades--are classified in Industry 32721, Glass and Glass Product Manufacturing;"
33999,"Manufacturing Christmas tree lighting sets--are classified in Industry 33512, Lighting Fixture Manufacturing;"
33999,"Manufacturing beauty and barber chairs--are classified in Industry 33712, Household and Institutional Furniture Manufacturing;"
33999,"Manufacturing burnt wood articles--are classified in Industry 32199, All Other Wood Product Manufacturing;"
33999,"Dressing and bleaching furs--are classified in Industry 31611, Leather and Hide Tanning and Finishing;"
33999,"Manufacturing paper, textile, and metal lamp shades--are classified in Industry 33512, Lighting Fixture Manufacturing;"
33999,"Manufacturing plastics lamp shades--are classified in Industry 32619, Other Plastics Product Manufacturing;"
33999,"Manufacturing matches and electronic cigarette vapor refills--are classified in Industry 32599, All Other Chemical Product and Preparation Manufacturing;"
33999,"Manufacturing metal products, such as metal combs and hair curlers--are classified in Industry 33299, All Other Fabricated Metal Product Manufacturing;"
33999,"Manufacturing plastics products, such as plastics combs and hair curlers--are classified in Industry 32619, Other Plastics Product Manufacturing; and"
33999,"Manufacturing electric hair clippers for use on humans--are classified in Industry 33521, Small Electrical Appliance Manufacturing."
339992,"Establishments primarily engaged in manufacturing toy musical instruments are classified in Industry 339930, Doll, Toy, and Game Manufacturing."
339993,"Manufacturing buttons, pins, and buckles made of precious metals or precious and semiprecious stones and gems--are classified in Industry 339910, Jewelry and Silverware Manufacturing;"
339993,"Manufacturing hypodermic and suture needles--are classified in U.S. Industry 339112, Surgical and Medical Instrument Manufacturing; and"
339993,"Manufacturing phonograph and styli needles--are classified in U.S. Industry 334419, Other Electronic Component Manufacturing."
339995,"Establishments primarily engaged in manufacturing concrete burial vaults are classified in Industry 327390, Other Concrete Product Manufacturing."
339999,"Manufacturing medical equipment and supplies--are classified in Industry Group 3391, Medical Equipment and Supplies Manufacturing;"
339999,"Manufacturing jewelry and flatware--are classified in Industry 339910, Jewelry and Silverware Manufacturing;"
339999,"Manufacturing sporting and athletic goods--are classified in Industry 339920, Sporting and Athletic Goods Manufacturing;"
339999,"Manufacturing dolls, toys, and games--are classified in Industry 339930, Doll, Toy, and Game Manufacturing;"
339999,"Manufacturing office supplies (except paper)--are classified in Industry 339940, Office Supplies (except Paper) Manufacturing;"
339999,"Manufacturing signs--are classified in Industry 339950, Sign Manufacturing;"
339999,"Manufacturing gasket, packing, and sealing devices--are classified in U.S. Industry 339991, Gasket, Packing, and Sealing Device Manufacturing;"
339999,"Manufacturing musical instruments--are classified in U.S. Industry 339992, Musical Instrument Manufacturing;"
339999,"Manufacturing fasteners, buttons, needles, and pins--are classified in U.S. Industry 339993, Fastener, Button, Needle, and Pin Manufacturing;"
339999,"Manufacturing brooms, brushes, and mops--are classified in U.S. Industry 339994, Broom, Brush, and Mop Manufacturing;"
339999,"Manufacturing burial caskets--are classified in U.S. Industry 339995, Burial Casket Manufacturing;"
339999,"Manufacturing Christmas tree glass ornaments and glass lamp shades--are classified in U.S. Industry 327215, Glass Product Manufacturing Made of Purchased Glass;"
339999,"Manufacturing Christmas tree lighting sets--are classified in U.S. Industry 335129, Other Lighting Equipment Manufacturing;"
339999,"Manufacturing beauty and barber chairs--are classified in U.S. Industry 337127, Institutional Furniture Manufacturing;"
339999,"Manufacturing burnt wood articles--are classified in U.S. Industry 321999, All Other Miscellaneous Wood Product Manufacturing;"
339999,"Dressing and bleaching furs--are classified in Industry 316110, Leather and Hide Tanning and Finishing;"
339999,"Manufacturing paper, textile, and metal lamp shades--are classified in U.S. Industry 335121, Residential Electric Lighting Fixture Manufacturing;"
339999,"Manufacturing plastics lamp shades--are classified in U.S. Industry 326199, All Other Plastics Product Manufacturing;"
339999,"Manufacturing matches and electronic cigarette vapor refills--are classified in U.S. Industry 325998, All Other Miscellaneous Chemical Product and Preparation Manufacturing;"
339999,"Manufacturing metal products, such as metal combs and hair curlers--are classified in U.S. Industry 332999, All Other Miscellaneous Fabricated Metal Product Manufacturing;"
339999,"Manufacturing plastics products, such as plastics combs and hair curlers--are classified in U.S. Industry 326199, All Other Plastics Product Manufacturing; and"
339999,"Manufacturing electric hair clippers for use on humans--are classified in Industry 335210, Small Electrical Appliance Manufacturing."
423120,"Merchant wholesale distribution of new and/or used tires and tubes--are classified in Industry 423130, Tire and Tube Merchant Wholesalers;"
423120,"Merchant wholesale distribution of automotive chemicals (except lubricating oils and greases)--are classified in Industry 424690, Other Chemical and Allied Products Merchant Wholesalers;"
423120,"Merchant wholesale distribution of lubricating oils and greases--are classified in Industry 424720, Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals); and"
423120,"Merchant wholesale distribution of used motor vehicle parts--are classified in Industry 423140, Motor Vehicle Parts (Used) Merchant Wholesalers."
423130,"Merchant wholesale distribution of other new automobile parts and accessories--are classified in Industry 423120, Motor Vehicle Supplies and New Parts Merchant Wholesalers; and"
423130,"Merchant wholesale distribution of other used automobile parts and accessories--are classified in Industry 423140, Motor Vehicle Parts (Used) Merchant Wholesalers."
423140,"Dismantling motor vehicles for the purpose of selling scrap--are classified in Industry 423930, Recyclable Material Merchant Wholesalers; and"
423140,"Merchant wholesale distribution of new and/or used tires and tubes--are classified in Industry 423130, Tire and Tube Merchant Wholesalers."
423210,"Merchant wholesale distribution of partitions, shelving, lockers, and store fixtures--are classified in Industry 423440, Other Commercial Equipment Merchant Wholesalers;"
423210,"Merchant wholesale distribution of hospital beds and medical furniture--are classified in Industry 423450, Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; and"
423210,"Merchant wholesale distribution of drafting tables--are classified in Industry 423490, Other Professional Equipment and Supplies Merchant Wholesalers."
423220,"Merchant wholesale distribution of household-type gas and electric appliances (except water heaters and heating stoves (i.e., noncooking))--are classified in Industry 423620, Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers; and"
423220,"Merchant wholesale distribution of precious metal flatware--are classified in Industry 423940, Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers."
423310,"Merchant wholesale distribution of nonwood roofing and siding materials--are classified in Industry 423330, Roofing, Siding, and Insulation Material Merchant Wholesalers; and"
423310,"Merchant wholesale distribution of timber and timber products, such as railroad ties, logs, firewood, and pulpwood--are classified in Industry 423990, Other Miscellaneous Durable Goods Merchant Wholesalers."
423320,"Merchant wholesale distribution of refractory brick and other refractory products--are classified in Industry 423840, Industrial Supplies Merchant Wholesalers; and"
423320,"Selling ready-mix concrete--are classified in Industry 327320, Ready-Mix Concrete Manufacturing."
423330,"Establishments primarily engaged in the merchant wholesale distribution of wood roofing and wood siding are classified in Industry 423310, Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers."
423390,"Merchant wholesale distribution of products of the primary metals industries--are classified in Industry 423510, Metal Service Centers and Other Metal Merchant Wholesalers;"
423390,"Merchant wholesale distribution of lumber; plywood; reconstituted wood fiber products; wood fencing; doors, windows, and their frames; wood roofing and wood siding; and other wood or metal millwork--are classified in Industry 423310, Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers;"
423390,"Merchant wholesale distribution of stone, cement, lime, construction sand and gravel; brick; asphalt and concrete mixtures (except ready-mix concrete); and/or concrete, stone, and structural clay products--are classified in Industry 423320, Brick, Stone, and Related Construction Material Merchant Wholesalers;"
